Nodo;Latitud;Longitud;Direccion
0;25.9454006;-100.3487438;AVENIDA 20 DE N 146 RINCON DEL CARMEN EC 66553 Escobedo Mexico
1;25.8984588;-100.1671758;VILLA DEL ROSAR 311 REAL DE PALMA SECTOR 1 65760 San Nicolas Mexico
2;25.8480424;-100.3892282;PRIV PACHUCA 178 LA ALIANZA 64103 Escobedo Mexico
3;25.847979;-100.3723684;SAN GABRIEL 1169 SAN MIGUEL RESIDENCIAL 66062 Escobedo Mexico
4;25.8406534;-100.4010306;CONDOR 960 CAMINO REAL II 66084 Escobedo Mexico
5;25.8402583;-100.3769454;RIO YAQUI 245 FRACC HDA LA PROVIDENCIA 66072 Escobedo Mexico
6;25.8201154;-100.2345052;DEL ESTRIBO 123 PORTAL DE SANTA ROSA 66465 Escobedo Mexico
7;25.8181195;-100.5373732;VISTA TURQUESA 430 VISTA BELLA 66013 Monterrey Mexico
8;25.8120279;-100.2644913;DIGNIDAD 205 BALCONES DEL NORTE 66052 Escobedo Mexico
9;25.8112185;-100.2193372;AVILES 113 VALLE DEL SALDUERO 66465 San Nicolas Mexico
10;25.8098747;-100.359096;PRIV RUBIDIO 336 PEDREGAL DE ESCOBEDO 66061 Escobedo Mexico
11;25.8079063;-100.2689235;PEPINO 507 FERNANDO AMILPA 66052 Escobedo Mexico
12;25.8071523;-100.3126416;RAMOS ARIZPE 218 RESID MIRAVISTA ESC 66050 Escobedo Mexico
13;25.8064518;-100.3352226;CAPELLA 321 MIRADOR DEL VALLE II 66072 Escobedo Mexico
14;25.8061827;-100.3369077;CEDRO 1034 BOSQUES DE ESCOB ESC 66072 Escobedo Mexico
15;25.8049951;-100.3097674;PIEDRAS NEGRAS 126 LAS ENCINAS ESC 66050 Escobedo Mexico
16;25.8019388;-100.3199968;ROBLES 211 LOS EUCALIPTOS ESC 66050 Escobedo Mexico
17;25.8007046;-100.3205474;QUEBEC 115 BOSQUES DE QUEBEC 66056 Escobedo Mexico
18;25.8005448;-100.5787224;PLATINO 134 PASEO DE LAS MINAS 66003 Escobedo Mexico
19;25.800512;-100.4784398;SAN BASILIO 729 VALLE DE LINCONL 66026 Escobedo Mexico
20;25.8003989;-100.4111572;FRAY JOSE 729 PORTAL DEL FRAILE 66064 Monterrey Mexico
21;25.8002233;-100.3122083;C PELICANO 238 BUENA VISTA 66583 Escobedo Mexico
22;25.7999431;-100.3246254;PRIV GOMEZ 142 LA ALIANZA 64103 Escobedo Mexico
23;25.799835;-100.3024349;INTRODUCE UN CO 214 VALLE DE ESCOBEDO 66053 Escobedo Mexico
24;25.7996433;-100.4124519;FRAY JOSE 638 PORTAL DEL FRAILE 66064 Monterrey Mexico
25;25.7996269;-100.3030862;C NARANJO 220 VALLE DE ESCOBEDO 66053 Escobedo Mexico
26;25.7992987;-100.334775;MANUEL ALVAREZ 830 PASEO REAL FRACC 2 66072 Escobedo Mexico
27;25.7986952;-100.394196;ZARAGOZA 706 LA NVA ESPERANZA 3 66064 Escobedo Mexico
28;25.7984317;-100.3844817;CIELO 135 CAMINO REAL I 66064 Escobedo Mexico
29;25.7983183;-100.4320105;LAJILLA 117 PARAJE SAN JOSE 66023 Escobedo Mexico
30;25.796977;-100.411866;FRAY BERNARDO 623 PORTAL DEL FRAILE 66064 Monterrey Mexico
31;25.7968189;-100.3081999;JARDINES DEL CA 236 MOISES SAENZ ALIANZA 64103 Monterrey Mexico
32;25.7967344;-100.3914426;MONTEMORELOS 215 NUEVA ESPERANZA 66064 Escobedo Mexico
33;25.7942747;-100.3940572;ALBERTO DEL CAN 114 FUNDADORES 66465 Escobedo Mexico
34;25.794267;-100.3134728;C ZAFIRO 426 RESIDENCIAL AVIANA 66057 Escobedo Mexico
35;25.7940488;-100.2921725;BUGAMBILIAS 435 BUSTAMANTE B 65150 Escobedo Mexico
36;25.7929192;-100.5205463;VILLA DE ABREGO 233 ALTA VILLA 66014 Monterrey Mexico
37;25.7925656;-100.3782361;DE LOS ARTESANO 5606 FOMERREY 35 MTY 64209 Monterrey Mexico
38;25.7921136;-100.3460969;OXFORD 102 SANTA LUZ 66070 Escobedo Mexico
39;25.791849;-100.3774735;BILLETEROS 5619 FOMERREY 35 64209 Monterrey Mexico
40;25.7895654;-100.4682077;COBALTO 517 LOS PARQUES RESIDENCIAL 66023 Escobedo Mexico
41;25.7893511;-100.3315463;AVE FIDEL VELAS 1037 BOSQUES DE ESCOB ESC 66072 Escobedo Mexico
42;25.788914;-100.4701071;AGATA 421 LOS PARQUES RESIDENCIAL 66023 Escobedo Mexico
43;25.787051;-100.2536665;N 5 340 METROPLEX APO 66465 Escobedo Mexico
44;25.7860258;-100.3371592;CERRO DE LAS CR 115 PROVILION ESC 66070 Escobedo Mexico
45;25.7857118;-100.4635418;JARDINES DE BAB 109 MISION SAN JUAN 66023 Escobedo Mexico
46;25.7855915;-100.2729606;VICTORIA 101 PRIVADAS DEL CANADA 66059 Escobedo Mexico
47;25.7845599;-100.3087269;AV FRESNOS 541 RESID ESCOBEDO ESC 66057 Escobedo Mexico
48;25.7841048;-100.401596;23 DE NOVIEMBRE 605 ALIANZA MTY 64103 Monterrey Mexico
49;25.78331;-100.3905143;BEKERELIO 475 ACERO MTY 64580 Monterrey Mexico
50;25.7821752;-100.4272331;SANTOS DEGOLLAD 2007 MITRAS PONIENTE 66023 Escobedo Mexico
51;25.7821463;-100.3937076;LLANURA BLANCA 300 BARRIO ALAMEDA S MTY 64102 Monterrey Mexico
52;25.7810492;-100.2662699;RT VALLE DE AME 976 VALLE DE LOS NOGALES 66465 San Nicolas Mexico
53;25.7809416;-100.4109785;MEDICOS 1022 ALIANZA MTY 64103 Monterrey Mexico
54;25.7801352;-100.2400353;ALAMILLO 538 RES EBANOS II 66465 San Nicolas Mexico
55;25.7799284;-100.3204749;NICEFORO ZAMBRA 109 FELIPE CARRI PTO ESC 66055 Escobedo Mexico
56;25.7797966;-100.3322478;ARUBA 105 SAN GENARO 2 SECTOR 66073 Escobedo Mexico
57;25.7794894;-100.4009196;CEDROS 151 BARRIO ALAMEDA S MTY 64102 Monterrey Mexico
58;25.7794064;-100.3785651;CALANDRIA 223 URBI VILLA BONITA 64102 Monterrey Mexico
59;25.7778423;-100.2414371;TUYA 907 RESID LOS EBANOS APO 66465 San Nicolas Mexico
60;25.7777668;-100.3708439;0 0 LA CROC 64200 Monterrey Mexico
61;25.7755834;-100.251359;TEPEYAC 265 FRACC LOS PINOS APO 66478 San Nicolas Mexico
62;25.7744662;-100.2739624;DEL GUANACASTE 820 CERRADAS DE ANAHUAC 66059 Escobedo Mexico
63;25.7740867;-100.2428389;OVIEDO 105 PASEO DE LOS NOGALES 66465 San Nicolas Mexico
64;25.7739602;-100.4136698;5 DE MAYO 134 LA ALIANZA 64103 Escobedo Mexico
65;25.7738338;-100.4078306;MISION 139 RESID PTA DL NTE ESC 66054 Escobedo Mexico
66;25.7727888;-100.266322;BAMBU 402 HACIENDA LAS PALMAS 66465 Escobedo Mexico
67;25.771883;-100.4039598;LAGO TITICACA 209 URBI VILLA DEL REY 64102 Monterrey Mexico
68;25.7711618;-100.2736388;SENDERO NORTE 1001 CDAS DE ANAHUAC 66059 Escobedo Mexico
69;25.7710228;-100.401606;MENORCA 112 URBI VILLA DEL REY 64102 Monterrey Mexico
70;25.7701362;-100.3243587;2DA CDA DE LA L 114 MONTERREAL INF II 66056 Escobedo Mexico
71;25.7700141;-100.3984963;PIRAMIDES DE EG 425 ARCOS DEL SOL 64102 Monterrey Mexico
72;25.7699337;-100.3242973;MONTE REAL COL 212 COLINAS DE ANAHUAC 66073 San Nicolas Mexico
73;25.7697048;-100.4048526;MERCURIO 120 BARRIO ESTRELL S MTY 64102 Monterrey Mexico
74;25.7685487;-100.2527944;DEL MEZQUITE 563 INF LOS FRESNOS II 66465 San Nicolas Mexico
75;25.7678338;-100.3256846;CERRO DEL MIRAD 140 COLINAS DE ANAHUAC 66073 San Nicolas Mexico
76;25.7672756;-100.2733889;JUAN LOPEZ 543 LA NOGALERA SAN 66417 San Nicolas Mexico
77;25.7672075;-100.2470444;DE LOS EBANOS 770 ARBOLEDAS DEL VIRREY 66465 San Nicolas Mexico
78;25.7670235;-100.2754365;MARIA BONITA 501 VILLA DL ROBLE SAN 66417 San Nicolas Mexico
79;25.766612;-100.4166589;SELBY 113 CUMBRES SAN AGUSTIN 64349 Monterrey Mexico
80;25.7645529;-100.2500015;DEL PALO BLANCO 722 INF LOS FRESNOS 66465 San Nicolas Mexico
81;25.7635328;-100.2967297;CASA DE MAXIMIL 200 CASABELLA SAN 66428 San Nicolas Mexico
82;25.7633719;-100.3256377;PARAISO NORTE 190 PARAISO DE ANAHUAC 66422 San Nicolas Mexico
83;25.763183;-100.2886498;AQUILES SERDAN 615 SAN NICOLAS CENT SAN 66400 San Nicolas Mexico
84;25.76272;-100.284552;LA PALOMA 105 RESID SN NICOLAS SAN 66414 San Nicolas Mexico
85;25.7620279;-100.300602;CASA DE LA CORR 408 CASABELLA SAN 66428 San Nicolas Mexico
86;25.7612263;-100.4183219;CUMBRES SAN AGU 1202 FRACC. PASEO CUMBRES 64346 Monterrey Mexico
87;25.7602201;-100.2676092;GUADALUPE VICTO 337 HEROES DE MEXICO SAN 66415 San Nicolas Mexico
88;25.7601424;-100.2435398;PRIV PRIMERA 102 GARCIA MIRELES APO 66465 San Nicolas Mexico
89;25.760114;-100.2591143;SANTOS DEGOLLAD 130 IGNACIO RAMIREZ SAN 66410 San Nicolas Mexico
90;25.7599249;-100.3238291;0 EL MIRADOR SAN 66422 San Nicolas Mexico
91;25.7598728;-100.3873291;ARVEJA 9420 FOMERREY 109 MTY 64106 Monterrey Mexico
92;25.7597279;-100.3158882;SAYIL 702 BALCONES DE ANAHUAC SAN 66422 Escobedo Mexico
93;25.7594131;-100.2857843;SIERRA HUICHOLA 224 STA CECILIA 66465 San Nicolas Mexico
94;25.7591998;-100.2568579;MARIA VICENTA E 303 ENRAMADA 2 SECC SAN 66465 San Nicolas Mexico
95;25.7586933;-100.3538331;AV LA ESPERANZ 6600 AMERICA 2 MTY 64730 Monterrey Mexico
96;25.7581191;-100.2698494;PIEL CANELA 247 RESID SN NICOLAS SAN 66414 San Nicolas Mexico
97;25.7567319;-100.3847733;CEFEO 9221 FOMERREY 51 4TO SECTOR 64109 Monterrey Mexico
98;25.7566867;-100.4273566;CUMBRE MALLORCA 116 BARRIO C URB SOL MTY 64349 Monterrey Mexico
99;25.7566658;-100.2423222;LIMON 407 ARB D STO DOMING SAN 66448 San Nicolas Mexico
100;25.7561932;-100.4074374;RIO AMAZONAS 105 FRACC REAL CUMBR MTY 64346 Monterrey Mexico
101;25.7556864;-100.3009207;CINCO 613 VILLA AZUL SAN 66420 San Nicolas Mexico
102;25.7551756;-100.3596143;MARCELO TORCUAT 8508 SAN MARTIN MTY 64210 Monterrey Mexico
103;25.7550829;-100.2546454;FERES 531 VALLE D SAN CARL SAN 66437 San Nicolas Mexico
104;25.7550395;-100.2691264;BETEL 708 BETHEL SAN 66430 San Nicolas Mexico
105;25.7547922;-100.4059649;RIO EUFRATES 310 FRACC. PASEO CUMBRES 64346 Monterrey Mexico
106;25.7547263;-100.3826344;PIZARRA 6509 FOME 25 C D S BE MTY 64107 Monterrey Mexico
107;25.7541283;-100.2922657;SAN REMO 1234 SAN NICOLAS CENT SAN 66400 San Nicolas Mexico
108;25.7539523;-100.2559269;LESBOS 442 VALLE D SAN CARL SAN 66437 San Nicolas Mexico
109;25.7537572;-100.2864469;CONSTITUCION FE 308 VICENTE GUERRERO I 66437 San Nicolas Mexico
110;25.7532711;-100.2699647;POLIS 1038 TORRES D STO DOM SAN 66440 San Nicolas Mexico
111;25.7530423;-100.3013843;FRANCISCO I MAD 437 A#O DE JUAREZ SAN 66460 San Nicolas Mexico
112;25.7528898;-100.2564088;RODAS 136 VALLE D SAN CARL SAN 66437 San Nicolas Mexico
113;25.7525535;-100.2588211;MIGUEL NEGRETE 105 VICENTENTE GUERR SAN 66437 San Nicolas Mexico
114;25.7523143;-100.2428969;BIMBO 429 NUEVO MEZQUITAL APO 66440 San Nicolas Mexico
115;25.7518775;-100.23261;DEL LAGO 105 CERRADAS DE SANTA ROSA 66465 San Nicolas Mexico
116;25.7514752;-100.3484912;DIEGO DE MONTEM 2008 1RO DE MAYO MTY 64220 Monterrey Mexico
117;25.7508327;-100.2830085;RAMON GARCES 466 LOS NOGALES SAN 66430 San Nicolas Mexico
118;25.7506911;-100.2477562;CDA MORA 309 ARBOLEDAS DEL MEZQUITAL 66449 San Nicolas Mexico
119;25.7505499;-100.2394111;PARQUE EL CHICO 616 BALCONES DEL MEZQUITAL 66465 San Nicolas Mexico
120;25.7503602;-100.2414481;BIMBO 545 NUEVO MEZQUITAL 66440 San Nicolas Mexico
121;25.7493469;-100.2868973;BRASIL 105 NUEVO AMANECER APO 66465 San Nicolas Mexico
122;25.7487084;-100.2789768;SIERRA TUNAL 511 VILLA ESPERANZA SAN 66469 San Nicolas Mexico
123;25.7472998;-100.3000578;UNIVERSIDAD AUT 213 VILL UNIVERSIDAD SAN 66420 San Nicolas Mexico
124;25.74686;-100.3715926;VILLA ALEGRE 8616 VILLA ALEGRE MTY 64130 Monterrey Mexico
125;25.7464697;-100.3531192;DEL TRABAJO 4236 ART 27 CONSTITUC MTY 64210 Monterrey Mexico
126;25.7457023;-100.3438249;ALBERTO ANAYA 7269 TIER Y LI SE HER MTY 64236 Monterrey Mexico
127;25.7452972;-100.2530901;DURAZNO 933 LOS NARANJOS SAN 66448 San Nicolas Mexico
128;25.7445026;-100.3875338;MAGDALENA GARCI 6445 PORTAL D CUMBRES MTY 64348 Monterrey Mexico
129;25.7440316;-100.2617789;PEDRO TABOADA 215 F 34 SAN 66447 San Nicolas Mexico
130;25.7438229;-100.4069001;HACIENDA DEL CA 310 CUMBRES 3 SEC MTY 64610 Monterrey Mexico
131;25.7436778;-100.3568071;0 0 UNIDAD MODELO MTY 64140 Monterrey Mexico
132;25.7434324;-100.3546469;LIC PEDRO ZORRI 404 VALLE DE SANTA LUCIA MTY 64140 Monterrey Mexico
133;25.7434026;-100.2887094;PRIVADA SANTA G 315 LAS PUENTES III SAN 66460 San Nicolas Mexico
134;25.7432105;-100.2522706;SILVESTRE DORAD 848 UNIDAD LABORAL SAN 66440 San Nicolas Mexico
135;25.7431399;-100.2554778;ALBERTO TORRES 508 UNIDAD LABORAL SAN 66440 San Nicolas Mexico
136;25.7429755;-100.3154111;GABRIEL RUIZ 647 RESID ANAHUAC SAN 66457 San Nicolas Mexico
137;25.7428234;-100.2539738;ALBERTO TORRES 600 UNIDAD LABORAL SAN 66440 San Nicolas Mexico
138;25.7427868;-100.379629;JOSE LUIS LOZAN 6409 FIDEL VELAZQUEZ MTY 64119 Monterrey Mexico
139;25.7425107;-100.3241652;SEXTA AVENIDA N 1204 LAZARO CARDENAS MTY 64269 Monterrey Mexico
140;25.7422866;-100.2530025;MAYA 755 FRACC LS MORALES SAN 66440 San Nicolas Mexico
141;25.7420123;-100.3083967;SOBRE LAS OLAS 139 EL ROBLE SAN 66450 San Nicolas Mexico
142;25.7411003;-100.2722076;VESUBIO 928 LAS PUENTES III SAN 66460 San Nicolas Mexico
143;25.7401633;-100.316414;OCTAVA 246 PORTAL DE ANAHUAC 66457 San Nicolas Mexico
144;25.7392641;-100.2677208;VOLCAN SANTA MA 1138 LAS PUENTES III SAN 66460 San Nicolas Mexico
145;25.7392119;-100.2912138;PABLO 207 VILLA LS PUENTES SAN 66460 San Nicolas Mexico
146;25.7389785;-100.2842013;C CEREZOS 323 HDA LAS PUENTES SAN 66465 San Nicolas Mexico
147;25.7382274;-100.3971689;ESCONDIDA 178 CUMBRES STA CLAR MTY 64349 Monterrey Mexico
148;25.7376796;-100.4067002;CERRADA CUMBRE 106 BARRIO C URB SOL MTY 64349 Monterrey Mexico
149;25.736507;-100.3343527;PRIVADA 30 DE A 7039 TOPOCHICO 5TO. SECTOR 64260 Monterrey Mexico
150;25.736394;-100.284552;N29 324 METROPLEX 4 66465 Escobedo Mexico
151;25.7357201;-100.3546823;ZEMPOALA 211 UNIDAD MODELO MTY 64140 Monterrey Mexico
152;25.7355483;-100.3072755;SOR JUANA INES 109 ANAHUAC SAN 66450 San Nicolas Mexico
153;25.7354995;-100.2389293;CHALAHUITE 334 JARD D CASA BLAN SAN 66475 San Nicolas Mexico
154;25.7352186;-100.2829194;PRIV 20 NTE 617 LAS PUENTES III SAN 66460 San Nicolas Mexico
155;25.7350297;-100.3345939;PRIVADA APODACA 2132 TOPOCHICO 5TO. SECTOR 64260 Monterrey Mexico
156;25.7349892;-100.2139316;C SAN MARINO 1214 RESID SAN CRISTO SAN 66478 San Nicolas Mexico
157;25.7347929;-100.3163975;TLALPAN 440 VALLE DE ANAHUAC 66450 San Nicolas Mexico
158;25.7335901;-100.283831;CALLE 23 615 LAS PUENTES III SAN 66460 San Nicolas Mexico
159;25.7335685;-100.3385135;ZOCALO 6141 LOMA BONITA MTY 64250 Monterrey Mexico
160;25.7332138;-100.2252606;SAN VALENTIN 1402 FRACCIONAMIENTO QUINTA MONTECA 66478 San Nicolas Mexico
161;25.7331319;-100.2428389;GUAMUCHIL 201 JARD D CASA BLAN SAN 66475 San Nicolas Mexico
162;25.7330495;-100.2284717;0 VALLE D CASA BLA SAN 66478 San Nicolas Mexico
163;25.7330405;-100.3798944;0 0 RESID CUMBRES MTY 64619 Monterrey Mexico
164;25.7325177;-100.2670231;JUAN SARABIA 149 PEDREGAL STO DOM SAN 66444 San Nicolas Mexico
165;25.7301355;-100.2974795;MISION DE SAN A 218 MISION SAN JOSE 66465 San Nicolas Mexico
166;25.7297448;-100.2716923;FINLANDESES 417 CARMEN ROMANO 66444 San Nicolas Mexico
167;25.7290504;-100.3468104;20 DE ENERO 6121 16 DE SEPTIEMBRE MTY 64160 Monterrey Mexico
168;25.728705;-100.2474725;CACERES 601 COSTA DEL SOL SAN 66470 San Nicolas Mexico
169;25.7276045;-100.3532609;FRAY ANGELICO 5925 CONDOCASA MITRAS MTY 64170 Monterrey Mexico
170;25.7269745;-100.2663551;ZARZAL 548 IND NOGALAR SAN 66484 San Nicolas Mexico
171;25.7269031;-100.21807;LAGO DE XOCHIMI 102 HACIENDA LAS FUENTES 66477 San Nicolas Mexico
172;25.7262534;-100.2421109;10 DE MAYO 136 ESTANCIA MINERA SAN 66476 San Nicolas Mexico
173;25.7254204;-100.3592085;C EVEREST 4837 VILLA MITRAS 1 S MTY 64170 Monterrey Mexico
174;25.7251932;-100.3414934;MIGUEL C ABASTA 2444 FERROCARRILERA 2 64250 Monterrey Mexico
175;25.7245587;-100.2347789;ANGELES 210 PASEO D LS ANGEL SAN 66470 San Nicolas Mexico
176;25.7242617;-100.3614591;CARMEN FLORES 4855 GRACIANO BORTONI MTY 64178 Monterrey Mexico
177;25.7240339;-100.2627635;MARATHON 405 DEP LA GRANJE SAN 66490 San Nicolas Mexico
178;25.7228557;-100.3604038;AV LINCOLN 2503 SAN JOSE MTY 64270 Monterrey Mexico
179;25.7225104;-100.3600483;AV ABRAHAM LINC 2501 AMP SAN JORGE MTY 64330 Monterrey Mexico
180;25.7223335;-100.26459;XOCHITL 415 AZTECA SAN 66480 San Nicolas Mexico
181;25.7219211;-100.3645271;AV ADOLFO RUIZ 5220 AMP SAN JORGE MTY 64330 Monterrey Mexico
182;25.721665;-100.3448449;JOJUTLA 201 NUEVA MORELOS MTY 64180 Monterrey Mexico
183;25.7212749;-100.2916336;DA VINCI 466 JARD DE NOGALAR SAN 66486 San Nicolas Mexico
184;25.7209782;-100.2689628;MEXICA 117 AZTECA SAN 66480 San Nicolas Mexico
185;25.7208158;-100.2670231;C AZUCENA 229 AZTECA SAN 66480 San Nicolas Mexico
186;25.7207031;-100.2537488;MATIAS RODRIGUE 600 CONST QRO III 66490 San Nicolas Mexico
187;25.7200353;-100.2516606;DAVID PENA FLOR 629 CONST QRO III 66490 San Nicolas Mexico
188;25.7183969;-100.2543682;JOSE VILLASE#OR 416 CONST QRO III 66490 San Nicolas Mexico
189;25.7180647;-100.2215298;NICOLAS BRAVO 207 MIGUEL ALEMAN 66470 San Nicolas Mexico
190;25.7180447;-100.2237875;OCASO 132 LOS PARQUES 66023 Monterrey Mexico
191;25.7177452;-100.3727522;5 LOS PINOS 4218 LOS CEDROS MTY 64370 Monterrey Mexico
192;25.7170553;-100.2097387;DEL DURAZNO 210 PARQUE LA TALAVE SAN 66473 San Nicolas Mexico
193;25.7167656;-100.3646796;GREGORIO MORALE 5105 VALLE VERDE 3 SE MTY 64339 Monterrey Mexico
194;25.7166574;-100.2304646;AV UNION 949 PARQUE LA TALAVE SAN 66473 San Nicolas Mexico
195;25.7155602;-100.2586104;AND MARTIRES DE 919 CONST. QRO IV 66490 San Nicolas Mexico
196;25.7150206;-100.2971749;PRIV ESCUELA 411 GARZA CANTU MTY 66480 Monterrey Mexico
197;25.7147291;-100.1809606;MANDARINO 217 FRACC LOS FRESNOS APO 66465 San Nicolas Mexico
198;25.714061;-100.3443288;RIO NILO 155 MITRAS NORTE MTY 64320 Monterrey Mexico
